




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	SRR098401_high_moderate_genes.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	SRR098401_high_moderate_genes.txt (4676)	SRR098401_high_moderate_genes.txt (expected)	SRR098401_high_moderate_genes.txt (over/under)	SRR098401_high_moderate_genes.txt (fold Enrichment)	SRR098401_high_moderate_genes.txt (raw P-value)	SRR098401_high_moderate_genes.txt (FDR)
activation of NF-kappaB-inducing kinase activity (GO:0007250)	10	8	2.27	+	3.52	2.03E-04	2.54E-02
desmosome organization (GO:0002934)	15	10	3.41	+	2.93	3.46E-04	3.76E-02
centriole replication (GO:0007099)	26	16	5.91	+	2.71	2.41E-05	5.48E-03
monocyte differentiation (GO:0030224)	20	12	4.54	+	2.64	3.65E-04	3.84E-02
protein localization to centrosome (GO:0071539)	26	15	5.91	+	2.54	1.24E-04	1.81E-02
protein localization to microtubule organizing center (GO:1905508)	26	15	5.91	+	2.54	1.24E-04	1.79E-02
replication fork processing (GO:0031297)	51	28	11.59	+	2.42	6.25E-07	2.56E-04
centrosome duplication (GO:0051298)	39	21	8.86	+	2.37	2.36E-05	5.43E-03
DNA-templated DNA replication maintenance of fidelity (GO:0045005)	58	31	13.18	+	2.35	3.53E-07	1.63E-04
centriole assembly (GO:0098534)	33	17	7.50	+	2.27	4.87E-04	4.89E-02
intermediate filament organization (GO:0045109)	76	39	17.27	+	2.26	5.23E-08	3.22E-05
extracellular matrix disassembly (GO:0022617)	45	22	10.22	+	2.15	1.14E-04	1.73E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	46	22	10.45	+	2.10	2.59E-04	3.06E-02
intermediate filament cytoskeleton organization (GO:0045104)	96	45	21.81	+	2.06	2.26E-07	1.28E-04
sperm flagellum assembly (GO:0120316)	60	28	13.63	+	2.05	4.03E-05	7.54E-03
intermediate filament-based process (GO:0045103)	97	45	22.04	+	2.04	2.83E-07	1.35E-04
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	437	183	99.29	+	1.84	2.11E-19	4.45E-16
centrosome cycle (GO:0007098)	98	41	22.27	+	1.84	2.74E-05	5.62E-03
keratinization (GO:0031424)	84	35	19.09	+	1.83	1.14E-04	1.72E-02
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	201	110.20	+	1.82	1.63E-20	6.03E-17
negative regulation of chromosome organization (GO:2001251)	80	33	18.18	+	1.82	2.34E-04	2.83E-02
